timestamp,acceleration-count,acceleration-entropy,acceleration-kurtosis,acceleration-mean,acceleration-skew,acceleration-std,acceleration-sum
2023-11-10,1788.0,3.754,163.4733,9.8812,8.4301,0.7424,17667.5462
2023-11-11,3482.0,3.657,120.6516,9.8416,2.1661,0.3467,34268.319
2023-11-12,2889.0,3.4054,185.9454,9.8398,-6.1786,0.1887,28427.2592
2023-11-13,7937.0,3.7602,662.895,9.8574,18.613,0.389,78238.2364
2023-11-14,7189.0,4.0525,1492.4593,9.8396,29.8726,0.8066,70736.7738
2023-11-15,6368.0,3.8697,111.473,9.8206,4.2711,0.3828,62537.4014
2023-11-16,3627.0,3.1101,0.1251,9.7992,0.1166,0.0227,35541.6373
2023-11-17,2156.0,3.6655,502.54,9.8453,16.6563,0.5941,21226.5692
2023-11-18,6524.0,3.5095,502.8625,9.8254,13.773,0.2284,64100.9797
2023-11-19,7188.0,3.7649,171.5365,9.8123,-0.3962,0.2047,70530.8849
2023-11-20,7384.0,3.504,772.9334,9.8209,6.6367,0.1696,72517.8778
2023-11-21,7110.0,3.8253,150.2382,9.8299,3.768,0.4052,69890.7035
2023-11-22,6184.0,4.0978,620.0421,9.8494,17.97,0.7336,60908.7059
2023-11-23,4996.0,3.824,198.6327,9.8313,7.891,0.5669,49117.3903
2023-11-24,3778.0,3.8812,124.1569,9.8435,6.3124,0.5502,37188.8765
2023-11-25,4270.0,3.616,125.1488,9.8159,-0.1789,0.2691,41913.9517
2023-11-26,4171.0,3.8918,874.2299,9.8452,20.828,0.562,41064.1559
2023-11-27,6039.0,3.9262,392.3744,9.8512,15.003,0.5871,59491.3839
2023-11-28,6171.0,3.8174,200.6165,9.8438,8.0544,0.433,60746.0777
2023-11-29,7275.0,4.1467,50.9906,9.8465,2.1077,0.5128,71633.4883
2023-11-30,7464.0,3.8964,229.299,9.8403,7.7925,0.371,73448.0633
2023-12-01,7152.0,3.9554,270.5547,9.8486,10.5818,0.5466,70436.9993
2023-12-02,2681.0,3.4053,502.3386,9.8515,17.5646,0.3617,26411.8815
2023-12-03,6963.0,4.0678,528.9398,9.8616,15.0703,0.6778,68666.1552
2023-12-04,7200.0,4.1683,1072.257,9.8532,22.2821,0.7383,70943.133
2023-12-05,5759.0,3.8503,525.4491,9.8442,18.0567,0.6123,56692.6039
2023-12-06,5214.0,3.8619,275.1915,9.8364,8.6003,0.5223,51286.8606
2023-12-07,453.0,2.5284,3.5606,9.8434,1.0058,0.0285,4459.0823
2023-12-08,2784.0,3.593,160.5934,9.8546,6.8847,0.4043,27435.2949
2023-12-09,4243.0,3.8139,85.7201,9.835,-0.4717,0.4432,41729.7485
2023-12-10,7222.0,3.936,365.0248,9.8538,13.1173,0.5369,71163.9261
2023-12-11,5061.0,3.6301,241.4504,9.8459,-3.2637,0.208,49830.0642
2023-12-12,4858.0,3.8116,323.5879,9.8568,9.9998,0.4937,47884.1207
2023-12-13,2473.0,4.0554,170.3861,9.8432,7.4569,1.0203,24342.2039
2023-12-14,4956.0,3.6764,784.7036,9.8586,20.7267,0.5366,48859.0251
2023-12-15,392.0,2.4278,3.1094,9.8487,0.5436,0.025,3860.7008
2023-12-16,5942.0,3.6316,285.1656,9.8336,6.0166,0.158,58431.3672
2023-12-17,5649.0,3.9519,260.8182,9.8331,7.755,0.4997,55547.3497
2023-12-18,5320.0,3.703,140.9981,9.8371,6.4403,0.3818,52333.3741
2023-12-19,6833.0,4.0951,271.1457,9.8483,8.8794,0.6057,67293.161
2023-12-20,5585.0,3.8762,91.9034,9.845,3.0596,0.3802,54984.5505
2023-12-21,5086.0,3.8118,116.1517,9.8526,6.1367,0.4591,50110.5308
2023-12-22,4096.0,3.6174,93.7595,9.8515,2.269,0.4156,40351.9109
2023-12-23,5996.0,3.9048,403.1686,9.841,12.1862,0.633,59006.7705
2023-12-24,3499.0,3.7083,105.7045,9.8558,5.8376,0.4904,34485.4869
2023-12-25,4872.0,3.7946,163.1211,9.8615,7.5673,0.4948,48045.0038
2023-12-26,2923.0,3.0986,1.4044,9.723,0.3036,0.0241,28420.4625
2023-12-27,5816.0,3.5761,354.4889,9.7908,13.885,0.7088,56943.3708
2023-12-28,5876.0,3.6602,3793.831,9.7605,55.5674,0.4393,57352.6807
2023-12-29,3998.0,3.7929,239.0602,9.7746,8.0656,0.5606,39078.6515
2023-12-30,5667.0,3.1758,130.9455,9.8068,6.1617,0.2951,55575.3212
2023-12-31,7042.0,3.6659,530.9043,9.7976,11.03,0.32,68994.9063
2024-01-01,7277.0,3.3308,0.0429,9.7894,0.0243,0.0223,71237.3823
2024-01-02,4932.0,3.8124,180.4027,9.8216,7.719,0.4555,48440.0649
2024-01-03,6367.0,3.6589,249.6214,9.8001,2.9039,0.3021,62397.2246
2024-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
