timestamp,motion-count,motion-max,motion-max-timestamp,motion-mean,motion-ratio
2023-11-10,6,2,15,1.5,0.1667
2023-11-11,13,2,9,1.0833,0.5
2023-11-12,15,2,17,1.0714,0.5833
2023-11-13,15,2,10,1.0714,0.5833
2023-11-14,18,2,10,1.3846,0.5417
2023-11-15,13,2,18,1.0833,0.5
2023-11-16,18,2,10,1.125,0.6667
2023-11-17,19,2,11,1.2667,0.625
2023-11-18,20,2,15,1.3333,0.625
2023-11-19,17,2,3,1.3077,0.5417
2023-11-20,15,2,10,1.1538,0.5417
2023-11-21,15,2,9,1.0714,0.5833
2023-11-22,17,2,11,1.2143,0.5833
2023-11-23,20,2,10,1.1111,0.75
2023-11-24,16,2,11,1.1429,0.5833
2023-11-25,18,2,8,1.2,0.625
2023-11-26,16,2,9,1.1429,0.5833
2023-11-27,17,2,10,1.2143,0.5833
2023-11-28,17,3,19,1.3077,0.5417
2023-11-29,33,4,11,2.2,0.625
2023-11-30,40,4,10,2.6667,0.625
2023-12-01,40,4,11,2.6667,0.625
2023-12-02,30,4,12,2.5,0.5
2023-12-03,34,4,12,2.4286,0.5833
2023-12-04,37,4,10,2.3125,0.6667
2023-12-05,46,4,4,2.4211,0.7917
2023-12-06,35,4,15,2.5,0.5833
2023-12-07,42,4,1,2.625,0.6667
2023-12-08,32,4,12,2.4615,0.5417
2023-12-09,26,4,10,1.625,0.6667
2023-12-10,16,2,2,1.2308,0.5417
2023-12-11,15,2,10,1.3636,0.4583
2023-12-12,19,2,11,1.1176,0.7083
2023-12-13,14,2,10,1.2727,0.4583
2023-12-14,20,2,4,1.25,0.6667
2023-12-15,14,2,12,1.1667,0.5
2023-12-16,11,1,0,1.0,0.4583
2023-12-17,14,2,10,1.1667,0.5
2023-12-18,13,2,11,1.1818,0.4583
2023-12-19,17,1,0,1.0,0.7083
2023-12-20,14,2,13,1.1667,0.5
2023-12-21,11,2,9,1.1,0.4167
2023-12-22,17,2,14,1.0625,0.6667
2023-12-23,15,2,14,1.0714,0.5833
2023-12-24,22,2,12,1.375,0.6667
2023-12-25,25,2,11,1.3889,0.75
2023-12-26,22,2,10,1.2222,0.75
2023-12-27,15,2,11,1.25,0.5
2023-12-28,16,2,10,1.1429,0.5833
2023-12-29,15,2,12,1.0714,0.5833
2023-12-30,10,1,2,1.0,0.4167
2023-12-31,21,2,5,1.4,0.625
2024-01-01,14,2,0,1.1667,0.5
2024-01-02,17,2,16,1.1333,0.625
2024-01-03,15,2,12,1.0714,0.5833
2024-01-04,19,2,10,1.2667,0.625
